Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C19, C2, C20, C21, C22, C23, C24, C26, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C4, C5, C8, C9",C0603,31,CC0603KRX7R9BB104,C14663
"C18, C25, C6, C7",C0603,4,CC0603JRNPO9BN390,C107049
C28,C0603,1,CL10A106KP8NNNC,C19702
ETHERNET_CONTROLLER1,QFN-40_L5.0-W5.0-P0.40-BL-EP3.7,1,RTL8153B-VB-CG,C2802072
"R1, R9",R1206,2,RT1206BRE07900KL,C871499
"R10, R2",R0402,2,RC0402FR-0710KL,C60490
"R11, R12, R7",R0603,3,RC0603FR-07200KL,C105574
R3,R0402,1,RC0402FR-0720KL,C93942
R4,0402,1,R,
R6,R0402,1,RC0402FR-071KL,C106235
R8,R0402,1,MCR01MZPF4701,C509343
RJ45,RJ45-TH_HR911130A,1,HR911130A,C54408
"U1, U2",WQFN-30_L4.5-W2.5-P0.4-BL-EP,2,HD3SS3220RNHR,C165155
"USBC_IN_1, USBC_OUT_1",USB-C-SMD_TYPE-C-G05-1TDW,2,TYPE-C-G05-1TDW,C20883027
USB_CONTROLLER1,QFN-64_L8.0-W8.0-P0.40-BL-EP5.4,1,GL3510-OSY52,C7501408
"USB_OUT_1, USB_OUT_2",USB-3.0-A-TH_HC-ST-003-01-Z,2,HC-ST-003-01-J,C2845330
"X1, X2",CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,2,X322525MSB4SI,C13740
